pop_seed,rep,k_genotypes,n_train,rrBLUP,DNN
0,0,300,600,0.5972480897010324,0.5828274951542987
0,0,500,1000,0.59059484613101,0.5849922038892738
0,0,700,1400,0.5910678056755349,0.6269602763422143
0,0,1000,2000,0.5666440360290297,0.6047654967750417
0,1,300,600,0.5916415188281354,0.5842426148157879
0,1,500,1000,0.6238559925592523,0.6247443304106127
0,1,700,1400,0.5846687688528517,0.59643081260454
0,1,1000,2000,0.5666440360290296,0.6059691945776032
1,0,300,600,0.5663562610352519,0.5591160598392223
1,0,500,1000,0.5416860646805111,0.5492652683752804
1,0,700,1400,0.5563034653520863,0.5779610278064563
1,0,1000,2000,0.5329940825949502,0.5775952795578788
1,1,300,600,0.6040385662175924,0.5987297827399105
1,1,500,1000,0.5820038554832103,0.5763131691905125
1,1,700,1400,0.5672519491555001,0.5818826554479875
1,1,1000,2000,0.5329940825949505,0.583377213438085
2,0,300,600,0.5839138889185038,0.5727424930106157
2,0,500,1000,0.5385901715397965,0.5686550344660476
2,0,700,1400,0.48759949106231504,0.5650440581539656
2,0,1000,2000,0.4360244765389327,0.5731595580195821
2,1,300,600,0.5792117476593391,0.5849314895238299
2,1,500,1000,0.5056546149026863,0.56471011125057
2,1,700,1400,0.5127981951677256,0.5810445740415622
2,1,1000,2000,0.4360244765389329,0.5706709379021394
